Composer,FirstName,LastName,MiddleName,Dates,DOB,DOD,Nationality,Nameofpiece,Duration (mins),Year,Instrumentation,Recording,Publisher,Score,Composer_website
Alice Smith Mary,Alice,Smith,Mary,1839-1884,1839,1884,British (English),Sonata in A,24,1870,Clarinet and Piano,https://open.spotify.com/track/24XpIWWl5Ot0wyNp5dJMP1?si=mXLLN3JLQ32Y0FyrWBOI,Hildegard Publishing,https://www.stretta-music.com/smith-sonata-in-a-nr-745644.html,https://carolineschleicher.com/
Alice Smith Mary,Alice,Smith,Mary,1839-1884,1839,1884,British (English),Andante for Clarinet and Orchestra,7,1870,Clarinet and Orchestra,https://www.youtube.com/watch?v=00WJIFsNl3M,Novello & Co Ltd (World),https://imslp.org/wiki/Andante_for_Clarinet_and_Orchestra_in_D_major_(Smith%2C_Alice_Mary),http://clareloveday.co.za/
Alison Bauld,Alison,Bauld,,b. 1944,1944,0,Australian,My own island,8,1989,Clarinet and Piano,https://www.youtube.com/watch?v=yWoR2Yd1ejY,Amphion,https://www.musicroom.com/alison-bauld-my-own-island-for-clarinet-and-piano-musnov951522     https://www.sheetmusicplus.com/title/bauld-my-own-island-for-clarinet-and-piano-sheet-music/18887070?ac=1,https://eleanoralberga.com/
Augusta Holmès,Augusta,Holmès,,1847-1903,1847,1903,French Irish,Fantaisie,8,1900,Clarinet and Piano,https://open.spotify.com/track/6fmNEgFCMYcMBJMNY1akFS?si=ad84ecdce8de4cce,Oxford University Press,https://imslp.org/wiki/Fantaisie_(Holm%C3%A8s%2C_Augusta_Mary_Anne),https://eleanoralberga.com/
Augusta Holmès,Augusta,Holmès,,1847-1903,1847,1903,French Irish,Molto Lento,2,0,Clarinet and Piano,https://www.youtube.com/watch?v=HwkYktHFgeE,Chester Music Ltd,https://global.oup.com/academic/product/subject-to-the-weather-9780193378292,https://eleanoralberga.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Musique pour Xavier,12,1993,"clarinet, tenor saxophone and violin",https://open.spotify.com/track/4mvHgkCHgU3ECK4tVCg4xQ?si=6abfd015f25f4276,Chester Music Ltd,https://www.fullermusic.co.uk/products/cecilia_mcdowall_three_pastiches_clarinet_piano?_pos=22&_sid=08b32bbd1&_ss=r,https://eleanoralberga.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Quartet No.6,12,1997,clarinet and string trio,https://www.youtube.com/watch?v=AxQ3acoWXY0,Chester Music Ltd,https://en.schott-music.com/shop/duo-leat-no272761.html,https://www.zwilich.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Trio sopra et sola facta,10,2000,"violin, clarinet and piano",https://www.youtube.com/watch?v=mCgATMt53tk,Chester Music Ltd,https://www.boosey.com/shop/prod/Arrieu-Claude-Capriccio-clarinet-piano/2104455,http://helenatulve.ee/music.html
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Petites musiques de chevet,10,1989,Clarinet and Piano,https://soundcloud.com/eleanoralberga/alberga-on-a-bats-back-i-do-fly,Chester Music Ltd,https://www.justflutes.com/shop/product/wind-quintet-claude-arrieu,http://www.gotkovsky.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,"Quoth the raven, 3 pieces for clarinet and piano",17,1993,Clarinet and Piano,https://www.hyperion-records.co.uk/dc.asp?dc=D_CDH55105,Chester Music Ltd,https://www.justflutes.com/shop/product/suite-en-quatre-claude-arrieu,https://www.judithweir.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Lovemusic,7,2005,Flute and bass clarinet,https://open.spotify.com/track/61PwnlNoRV7z745HYttZ9z?si=2ulo_1_8SAqO3xaVCO3g4g,Chester Music Ltd,https://www.justflutes.com/shop/product/la-fete-clarinet-piano-claude-arrieu#gref,https://www.judithweir.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,"Episode No.9 ""Forte magnum colaraturum""",11,1990,Solo clarinet,https://open.spotify.com/album/44TH44D85b5qQA0uOtILyz?si=YuKu8JtWT3eElOqD3rRVTA,Chester Music Ltd,https://www.justflutes.com/shop/product/un-jour-dete-clarinet-piano-claude-arrieu#gref,https://www.judithweir.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Motet IV 'Ventosum Vocant',8,2002,"soprano, flute, clarinet, harp, violin and cello",https://open.spotify.com/album/1r2lp1pZJJyRNVOil4BSqo?si=JhdsQEi8R5y23Fm6ydEbkg,Associated Music Publishers,https://www.justflutes.com/shop/product/petit-choral-clarinet-piano-claude-arrieu#gref,https://www.judithweir.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,L' Ascension du Mont Ventoux,5,2004,"soprano, narrator, flute, clarinet, violin, cello and harp",https://open.spotify.com/track/4NrzcCU2C7hL6qqx7PBn6l?si=oCgl9wlNRWubS8XnWPZEIg,Associated Music Publishers,https://composers.com/composers/dorothy-rudd-moore/night-fantasy,https://www.judithweir.com/
Betsy Jolas,Betsy,Jolas,,b. 1926,1926,0,French American,Rambles,9,2005,"narrator/speaker, flute, clarinet, harp, violin and cello",https://www.australianmusiccentre.com.au/product/rush-the-adventures-of-sebastian-the-fox-and-other-goodies,Novello & Co Ltd,https://www.musicroom.com/product/mussos01145/elizabeth-maconchy-clarinet-quintet-1963-clarinet.aspx,https://www.judithweir.com/
Caroline Schleicher-Kraemer,Caroline,Schleicher-Kraemer,,1794-1873,1794,1873,German,Sonatina,10,2001,Clarinet and Piano,https://open.spotify.com/track/1IXNAJTzmRI5YjfGkAIHhp?si=KqJ198d4Ta-tt6Yk9j6s7Q,Novello & Co Ltd,https://www.boosey.com/shop/prod/Maconchy-Elizabeth-Fantasia/2016630,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Century Dances,6,2008,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=jtILcK1QBwU,Chester Music Ltd,https://www.wisemusicclassical.com/work/12223/Reflections--Elizabeth-Maconchy/,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Arctic Circle,8,2002,"Wind Quintet and Piano (Flute, Oboe, Clarinet, Bassoon, Horn, Piano)",https://www.youtube.com/watch?v=6b1xMcHbGik,Chester Music Ltd,https://www.boosey.com/shop/prod/Maconchy-Elizabeth-Wind-Quintet/2343557,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Cavatina at Midnight,10,1998,"Clarinet Trio (Clarinet, Cello, Piano)",https://open.spotify.com/album/18l14hDSM2w3iPxCWwxcc9?si=VAFSJ5FJQauCuoIvbKb4AA,Chester Music Ltd,https://www.wisemusicclassical.com/work/12210/LHorloge--Elizabeth-Maconchy/,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Dream City,10,2004,"Flute, Clarinet, Harp, String Quartet (2 Violins, Viola, Cello)",https://open.spotify.com/track/1XHFWTtCzzw61TprJr6qjg?si=7abe083b1cd749cf,Chester Music Ltd,https://www.wisemusicclassical.com/work/8351/Concertino--Elizabeth-Maconchy/,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Le Temps Viendra,12,2000,"Oboe, Clarinet/Bass Clarinet, Piano",,Chester Music Ltd,https://www.wisemusicclassical.com/work/8350/Concertino--Elizabeth-Maconchy/,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),The Night Trumpeter,9,2010,"Clarinet, Bassoon, Trumpet, Violin, Cello, Piano",,Chester Music Ltd,https://www.wisemusicclassical.com/work/8336/Variazioni-concertanti--Elizabeth-Maconchy/,https://www.judithweir.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Jeu à Treize,4.5,1992,"2 Oboes, 2 Clarinets, 2 Basset Horns, 4 Horns, 2 Bassoons, Double Bass",,Chester Music Ltd,https://www.juneemersonwindmusic.com/SERENADE-in-A-minor-a9e1c7aa-eb31-42e4-9707-fe604e3b2b9c.html,https://libbylarsen.com/works/dancing-solo/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Subject to the Weather,25,1994,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,Chester Music Ltd,https://www.wisemusicclassical.com/work/23912/Wings-for-clarinet--Joan-Tower/,https://www.rebeccasaunders.net/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Winter Music,26,2010,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,Chester Music Ltd,https://www.wisemusicclassical.com/work/2757/Sketches-from-a-Bagpipers-Album--Judith-Weir/,https://www.sonjamutic.com/
Cecilia McDowall,Cecilia,McDowall,,b.1951,1951,0,British (English),Three Pastiches,12,2018,Clarinet and Piano,,Chester Music Ltd,https://www.wisemusicclassical.com/work/2723/Airs-from-Another-Planet--Judith-Weir/,https://www.vcolemanmusic.com/
Chaya Czernowin,Chaya,Czernowin,,b.1957,1957,0,Israeli American,Duo Leat (Slow Duo),13,2016,Two Bass Clarinets,,Chester Music Ltd,https://www.wisemusicclassical.com/work/2744/Mountain-Airs--Judith-Weir/,https://www.vcolemanmusic.com/
Clare Loveday,Clare,Loveday,,b.1967,1967,0,South African,Clarinet Trio 1,11,1970,"Clarinet, Violin and Piano",,Theodore Presser Company,https://www.wisemusicclassical.com/work/56762/A-few-words-of-thanks--Judith-Weir/,https://www.vcolemanmusic.com/
Clare Loveday,Clare,Loveday,,b.1967,1967,0,South African,Heatwave,9,1955,Clarinet and Piano,,"V Coleman Music Publishing, LLC",https://www.wisemusicclassical.com/work/48148/Blue-Green-Hill--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Capriccio,19,1964,Clarinet and Piano,,V Coleman Music,https://www.wisemusicclassical.com/work/2746/Musicians-Wrestle-Everywhere--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Wind Trio (Suite en Trio),7,1952,"Oboe, Clarinet, Bassoon",,V Coleman Music  ,https://www.wisemusicclassical.com/work/2753/The-Romance-of-Count-Arnaldos--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Five Movements (Cinq Movements),14,1967,"Clarinet Quartet (Eb Clarinet, 2 Bb Clarinets, Bass Clarinet)",,V Coleman Music,https://www.wisemusicclassical.com/work/2755/Sederunt-Principes--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Wind Quintet (Quintette en Ut),10,1980,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,Unknown,https://www.wisemusicclassical.com/work/12753/The-Skriker--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Wind Dectet (Dixtuor pour Instruments à Vent),18,1976,"2 Flutes, Oboe, 2 Clarinets, 2 Bassoons, Horn, Trumpet, Trombone",,Unknown,https://www.wisemusicclassical.com/work/13533/Tiger-under-the-Table--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Wind Quartet (Suite en Quatre),12,1976,"Wind Quartet (Flute, Oboe, Clarinet, Bassoon)",,Unknown,https://www.wisemusicclassical.com/work/13758/Really--Judith-Weir/,https://www.vcolemanmusic.com/
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,La fête,7,1980,Clarinet and Piano,,Unknown,https://www.wisemusicclassical.com/work/12755/The-Alps--Judith-Weir/,
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Un jour d’été,7,1978,Clarinet and Piano,,Unknown,https://www.wisemusicclassical.com/work/47495/Whats-in-the-Lake--Judith-Weir/,
Claude Arrieu(Louise Marie Simon),Claude,Arrieu,,1903-1990,1903,1990,French,Petit Choral,3,1990,Clarinet and Piano,,Unknown,https://trove.nla.gov.au/work/8656340,
Dorothy Moore Rudd ,Dorothy,Moore,Rudd,b.1940,1940,0,American,Night Fantasy,5,1990,Clarinet and Piano,,Unknown,https://www.australianmusiccentre.com.au/workversion/sutherland-margaret-little-suite/16607,
Eleanor Alberga ,Eleanor,Alberga,,b. 1949,1949,0,Jamaican British,Dancing with the Shadow Duo,15,1993,Clarinet and Piano,,Unknown,https://www.australianmusiccentre.com.au/workversion/eoetvoes-melody-three-alcids/34268,
Eleanor Alberga ,Eleanor,Alberga,,b. 1949,1949,0,Jamaican British,Dancing with the Shadow  ,9,2000,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,Unknown,https://www.australianmusiccentre.com.au/workversion/eoetvoes-melody-king-in-yellow/27213,
Eleanor Alberga ,Eleanor,Alberga,,b. 1949,1949,0,Jamaican British,Nightscape,19,1963,"2 Oboes, 1 Bb Clarinet, 1 Bb/Eb Clarinet 2 Basset Horns, 2 Bassoons, 4 Horns, Double Bass",,Unknown,https://www.australianmusiccentre.com.au/workversion/eoetvoes-melody-leafcutter/27240,
Eleanor Alberga ,Eleanor,Alberga,,b. 1949,1949,0,Jamaican British,On a Bat's Back I do Fly,15,1980,"Flute, Clarinet/Bass Clarinet, Horn, Violin, Cello, Piano, Percussion",,Unknown,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-clarinet-sonata-in-f-minor/3858,
